[INFO] 05:21:56:993 gameboy/(12566:12566): El IP es: 127.0.0.1
[INFO] 05:21:56:993 gameboy/(12566:12566): El PUERTO es: 37227
[INFO] 05:25:11:890 gameboy/(12671:12671): El IP es: 127.0.0.1
[INFO] 05:25:11:890 gameboy/(12671:12671): El PUERTO es: 37227
[INFO] 05:25:14:735 gameboy/(12673:12673): El IP es: 127.0.0.1
[INFO] 05:25:14:736 gameboy/(12673:12673): El PUERTO es: 37227
[INFO] 05:25:18:215 gameboy/(12679:12679): El IP es: 127.0.0.1
[INFO] 05:25:18:215 gameboy/(12679:12679): El PUERTO es: 37227
[INFO] 05:27:06:119 gameboy/(12765:12765): El IP es: 127.0.0.1
[INFO] 05:27:06:141 gameboy/(12765:12765): El PUERTO es: 37227
[INFO] 05:28:35:38 gameboy/(12870:12870): El IP es: 127.0.0.1
[INFO] 05:28:35:38 gameboy/(12870:12870): El PUERTO es: 37227
[INFO] 05:28:53:429 gameboy/(12909:12909): El IP es: 127.0.0.1
[INFO] 05:28:53:430 gameboy/(12909:12909): El PUERTO es: 37227
[INFO] 05:29:14:157 gameboy/(12919:12919): El IP es: 127.0.0.1
[INFO] 05:29:14:157 gameboy/(12919:12919): El PUERTO es: 37227
[INFO] 05:33:00:356 gameboy/(12996:12996): El IP es: 127.0.0.1
[INFO] 05:33:00:357 gameboy/(12996:12996): El PUERTO es: 37227
[INFO] 05:33:41:316 gameboy/(13040:13040): El IP es: 127.0.0.1
[INFO] 05:33:41:316 gameboy/(13040:13040): El PUERTO es: 37227
[INFO] 05:35:40:493 gameboy/(13092:13092): El IP es: 127.0.0.1
[INFO] 05:35:40:493 gameboy/(13092:13092): El PUERTO es: 37227
[INFO] 05:39:32:234 gameboy/(13361:13361): El IP es: 127.0.0.1
[INFO] 05:39:32:234 gameboy/(13361:13361): El PUERTO es: 37227
[INFO] 05:39:56:267 gameboy/(13374:13374): El IP es: 127.0.0.1
[INFO] 05:39:56:268 gameboy/(13374:13374): El PUERTO es: 37227
[INFO] 05:40:11:744 gameboy/(13413:13413): El IP es: 127.0.0.1
[INFO] 05:40:11:744 gameboy/(13413:13413): El PUERTO es: 37227
[INFO] 05:40:58:11 gameboy/(13452:13452): El IP es: 127.0.0.1
[INFO] 05:40:58:11 gameboy/(13452:13452): El PUERTO es: 37227
[INFO] 05:41:01:83 gameboy/(13463:13463): El IP es: 127.0.0.1
[INFO] 05:41:01:83 gameboy/(13463:13463): El PUERTO es: 37227
[INFO] 05:41:29:906 gameboy/(13513:13513): El IP es: 127.0.0.1
[INFO] 05:41:29:909 gameboy/(13513:13513): El PUERTO es: 37227
[INFO] 05:44:37:817 gameboy/(13604:13604): El IP es: 127.0.0.1
[INFO] 05:44:37:817 gameboy/(13604:13604): El PUERTO es: 37227
[INFO] 15:08:46:593 gameboy/(8094:8094): El IP es: 127.0.0.1
[INFO] 15:08:46:595 gameboy/(8094:8094): El PUERTO es: 37227
[INFO] 15:08:52:617 gameboy/(8109:8109): El IP es: 127.0.0.1
[INFO] 15:08:52:617 gameboy/(8109:8109): El PUERTO es: 37227
[INFO] 15:09:08:695 gameboy/(8111:8111): El IP es: 127.0.0.1
[INFO] 15:09:08:695 gameboy/(8111:8111): El PUERTO es: 37227
[INFO] 15:09:11:42 gameboy/(8115:8115): El IP es: 127.0.0.1
[INFO] 15:09:11:42 gameboy/(8115:8115): El PUERTO es: 37227
[INFO] 15:21:23:717 gameboy/(8806:8806): El IP es: 127.0.0.1
[INFO] 15:21:23:783 gameboy/(8806:8806): El PUERTO es: 37227
[INFO] 15:27:22:981 gameboy/(8945:8945): El IP es: 127.0.0.1
[INFO] 15:27:22:981 gameboy/(8945:8945): El PUERTO es: 37227
[INFO] 15:28:09:535 gameboy/(9007:9007): El IP es: 127.0.0.1
[INFO] 15:28:09:535 gameboy/(9007:9007): El PUERTO es: 37227
[INFO] 16:09:48:117 gameboy/(11140:11140): El IP es: 127.0.0.1
[INFO] 16:09:48:132 gameboy/(11140:11140): El PUERTO es: 37227
[INFO] 16:19:29:150 gameboy/(8811:8811): El IP es: 127.0.0.1
[INFO] 16:19:29:154 gameboy/(8811:8811): El PUERTO es: 37227
[INFO] 16:25:01:771 gameboy/(9742:9742): El IP es: 127.0.0.1
[INFO] 16:25:01:773 gameboy/(9742:9742): El PUERTO es: 37227
[INFO] 17:00:57:785 gameboy/(7355:7355): El IP es: 127.0.0.1
[INFO] 17:00:57:786 gameboy/(7355:7355): El PUERTO es: 37227
[INFO] 17:41:27:452 gameboy/(12612:12612): El IP es: 127.0.0.1
[INFO] 17:41:27:453 gameboy/(12612:12612): El PUERTO es: 37227
[INFO] 17:50:19:959 gameboy/(13754:13754): El IP es: 127.0.0.1
[INFO] 17:50:19:960 gameboy/(13754:13754): El PUERTO es: 37227
[INFO] 17:51:12:79 gameboy/(13971:13971): El IP es: 127.0.0.1
[INFO] 17:51:12:80 gameboy/(13971:13971): El PUERTO es: 37227
[INFO] 17:52:39:151 gameboy/(14161:14161): El IP es: 127.0.0.1
[INFO] 17:52:39:152 gameboy/(14161:14161): El PUERTO es: 37227
[INFO] 17:55:34:67 gameboy/(14775:14775): El IP es: 127.0.0.1
[INFO] 17:55:34:68 gameboy/(14775:14775): El PUERTO es: 37227
[INFO] 17:59:26:733 gameboy/(15216:15216): El IP es: 127.0.0.1
[INFO] 17:59:26:734 gameboy/(15216:15216): El PUERTO es: 37227
[INFO] 18:02:46:109 gameboy/(15645:15645): El IP es: 127.0.0.1
[INFO] 18:02:46:110 gameboy/(15645:15645): El PUERTO es: 37227
[INFO] 18:03:53:539 gameboy/(16041:16041): El IP es: 127.0.0.1
[INFO] 18:03:53:541 gameboy/(16041:16041): El PUERTO es: 37227
[INFO] 18:06:01:566 gameboy/(16318:16318): El IP es: 127.0.0.1
[INFO] 18:06:01:566 gameboy/(16318:16318): El PUERTO es: 37227
[INFO] 18:10:28:117 gameboy/(17015:17015): El IP es: 127.0.0.1
[INFO] 18:10:28:118 gameboy/(17015:17015): El PUERTO es: 37227
[INFO] 18:46:18:360 gameboy/(21570:21570): El IP es: 127.0.0.1
[INFO] 18:46:18:361 gameboy/(21570:21570): El PUERTO es: 37227
[INFO] 18:46:40:557 gameboy/(21639:21639): El IP es: 127.0.0.1
[INFO] 18:46:40:558 gameboy/(21639:21639): El PUERTO es: 37227
[INFO] 15:15:25:966 gameboy/(6807:6807): El IP es: 127.0.0.1
[INFO] 15:15:25:978 gameboy/(6807:6807): El PUERTO es: 37227
[INFO] 15:17:05:954 gameboy/(7173:7173): El IP es: 127.0.0.1
[INFO] 15:17:05:955 gameboy/(7173:7173): El PUERTO es: 37227
[INFO] 15:19:05:749 gameboy/(7505:7505): El IP es: 127.0.0.1
[INFO] 15:19:05:750 gameboy/(7505:7505): El PUERTO es: 37227
[INFO] 15:23:38:415 gameboy/(8291:8291): El IP es: 127.0.0.1
[INFO] 15:23:38:416 gameboy/(8291:8291): El PUERTO es: 37227
[INFO] 15:27:02:230 gameboy/(8904:8904): El IP es: 127.0.0.1
[INFO] 15:27:02:231 gameboy/(8904:8904): El PUERTO es: 37227
[INFO] 15:30:54:503 gameboy/(9858:9858): El IP es: 127.0.0.1
[INFO] 15:30:54:504 gameboy/(9858:9858): El PUERTO es: 37227
[INFO] 15:41:15:784 gameboy/(12081:12081): El IP es: 127.0.0.1
[INFO] 15:41:15:784 gameboy/(12081:12081): El PUERTO es: 37227
[INFO] 15:43:05:914 gameboy/(12463:12463): El IP es: 127.0.0.1
[INFO] 15:43:05:914 gameboy/(12463:12463): El PUERTO es: 37227
[INFO] 16:37:00:368 gameboy/(16576:16576): El IP es: 127.0.0.1
[INFO] 16:37:00:369 gameboy/(16576:16576): El PUERTO es: 37227
[INFO] 16:48:14:507 gameboy/(18067:18067): El IP es: 127.0.0.1
[INFO] 16:48:14:508 gameboy/(18067:18067): El PUERTO es: 37227
[INFO] 16:48:47:863 gameboy/(18222:18222): El IP es: 127.0.0.1
[INFO] 16:48:47:865 gameboy/(18222:18222): El PUERTO es: 37227
[INFO] 16:58:52:687 gameboy/(19475:19475): El IP es: 127.0.0.1
[INFO] 16:58:52:688 gameboy/(19475:19475): El PUERTO es: 37227
[INFO] 17:01:50:108 gameboy/(20010:20010): El IP es: 127.0.0.1
[INFO] 17:01:50:109 gameboy/(20010:20010): El PUERTO es: 37227
[INFO] 17:02:39:497 gameboy/(20140:20140): El IP es: 127.0.0.1
[INFO] 17:02:39:498 gameboy/(20140:20140): El PUERTO es: 37227
[INFO] 17:03:45:409 gameboy/(20285:20285): El IP es: 127.0.0.1
[INFO] 17:03:45:410 gameboy/(20285:20285): El PUERTO es: 37227
